"timestamp","latitude","longitude","accel_mean","accel_variance","accel_stats_x_p1","accel_stats_x_p10","accel_stats_x_p90","accel_stats_x_p99","accel_stats_y_p1","accel_stats_y_p10","accel_stats_y_p90","accel_stats_y_p99","accel_stats_z_p1","accel_stats_z_p10","accel_stats_z_p90","accel_stats_z_p99"
"2025-06-06 16:28:37","33.78098","-84.386685","9.38","0.253","-1.532","-0.613","1.532","2.758","1.226","2.145","3.218","3.677","7.815","8.274","9.653","10.726"
"2025-06-06 16:28:34","33.781008","-84.386676","9.38","0.253","-1.532","-0.613","1.532","2.758","1.226","2.145","3.218","3.677","7.815","8.274","9.653","10.726"
"2025-06-06 16:24:55","33.776883","-84.387413","9.373","0.152","-0.919","-0.306","1.686","2.298","2.605","3.218","3.677","5.057","7.968","8.121","9.347","9.807"
"2025-06-06 16:24:52","33.776814","-84.387382","9.373","0.152","-0.919","-0.306","1.686","2.298","2.605","3.218","3.677","5.057","7.968","8.121","9.347","9.807"
"2025-06-06 16:24:49","33.776757","-84.387368","9.373","0.152","-0.919","-0.306","1.686","2.298","2.605","3.218","3.677","5.057","7.968","8.121","9.347","9.807"
"2025-06-06 16:24:46","33.776713","-84.387362","9.373","0.152","-0.919","-0.306","1.686","2.298","2.605","3.218","3.677","5.057","7.968","8.121","9.347","9.807"
"2025-06-06 16:24:43","33.776668","-84.387356","9.373","0.152","-0.919","-0.306","1.686","2.298","2.605","3.218","3.677","5.057","7.968","8.121","9.347","9.807"
"2025-06-06 16:24:40","33.776637","-84.387358","9.373","0.152","-0.919","-0.306","1.686","2.298","2.605","3.218","3.677","5.057","7.968","8.121","9.347","9.807"
"2025-06-06 16:24:37","33.776603","-84.387355","9.319","0.255","-1.686","-0.306","1.839","2.145","1.226","2.605","3.677","4.137","7.815","8.274","9.194","10.726"
"2025-06-06 16:24:34","33.77659","-84.387367","9.319","0.255","-1.686","-0.306","1.839","2.145","1.226","2.605","3.677","4.137","7.815","8.274","9.194","10.726"
"2025-06-06 16:24:31","33.77659","-84.387393","9.319","0.255","-1.686","-0.306","1.839","2.145","1.226","2.605","3.677","4.137","7.815","8.274","9.194","10.726"
"2025-06-06 16:24:28","33.77659","-84.387423","9.319","0.255","-1.686","-0.306","1.839","2.145","1.226","2.605","3.677","4.137","7.815","8.274","9.194","10.726"
"2025-06-06 16:24:25","33.776599","-84.387463","9.319","0.255","-1.686","-0.306","1.839","2.145","1.226","2.605","3.677","4.137","7.815","8.274","9.194","10.726"
